ID,Sales Segment,Global Region,Industry,Booking Date Date,Lead Source,Type,Reporting Type Reason,Stage Name,Source,Number of Employees,Is Customer (Yes / No),Created Date,Tenure Months,Total ARR
35,Emerging,NA,Commercial Services & Supplies,2020-04-01,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,50,No,2019-12-06,4 Months,$4K
36,Enterprise,NA,Media,2020-03-31,Web,New Deal,New,Closed Lost,Web,220,No,2019-03-04,23 Months,$0.00
37,SMB,NA,Internet,2020-03-31,,New Deal,New,Closed Lost,,51,No,2019-03-25,31 Months,$34K
38,Emerging,NA,Health & Wellness,2020-03-31,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,12,No,2019-12-23,38 Months,$7K
39,Emerging,EMEA,Consumer Discretionary,2020-03-31,,Upgrade,Upgrade,Closed Lost,,180,Yes,2019-11-19,11 Months,$43K
40,SMB,NA,Internet Software & Services,2020-03-31,,Upgrade,Upgrade,Closed Won,,53,Yes,2020-02-10,60 Months,$5K
41,Emerging,EMEA,,2020-03-31,Website,New Deal,,Closed Lost,Website,,No,2019-09-04,11 Months,$8K
42,Enterprise,NA,Shipping,2020-03-31,Datahug,New Deal,New,Closed Lost,Datahug,"12,790",No,2019-06-14,15 Months,$31K
43,Emerging,NA,Professional Services,2020-03-31,Outbound,New Deal,New,Closed Lost,Outbound,100,No,2018-12-28,39 Months,$50K
44,Emerging,NA,Computer Software,2020-03-31,,Upgrade,Upgrade,Disqualified,,150,Yes,2019-12-16,47 Months,$8K
45,Emerging,NA,,2020-03-31,,New Deal,New,Closed Lost,,,No,2020-01-28,58 Months,$4K
46,SMB,NA,Professional Services,2020-03-31,,New Deal,,Closed Lost,,60,No,2019-12-11,58 Months,$5K
47,Emerging,NA,Internet,2020-03-31,Google Natural Search,New Deal,New,Closed Lost,Google Natural Search,,No,2019-12-18,58 Months,$3K
48,Emerging,NA,,2020-03-31,,New Deal,New,Closed Lost,,,No,2020-02-14,4 Months,$2K
49,Emerging,NA,,2020-03-31,,New Deal,New,Closed Lost,,,No,2019-10-29,7 Months,$10K
50,SMB,NA,,2020-03-31,,Upgrade,Upgrade,Disqualified,,200,Yes,2020-02-11,7 Months,$1K
51,Emerging,APAC,,2020-03-28,,Upgrade,Upgrade,Disqualified,,,Yes,2020-02-27,38 Months,$2K
52,Enterprise,EMEA,Professional Services,2020-03-27,Datahug,New Deal,New,Closed Lost,Datahug,260,No,2019-03-08,15 Months,$39K
53,SMB,NA,Internet Software & Services,2020-03-27,SalesLoft,Upgrade,Upgrade,Disqualified,SalesLoft,51,Yes,2020-02-26,60 Months,$16K
54,Enterprise,NA,Air Freight & Logistics,2020-03-27,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,"59,900",No,2019-10-07,15 Months,$48K
55,Enterprise,NA,Diversified Financial Services,2020-03-20,LeadIQ,New Deal,New,Closed Lost,LeadIQ,"1,192",No,2018-11-29,15 Months,$94K
56,Emerging,NA,Internet Software & Services,2020-03-18,,Upgrade,Upgrade,Closed Lost,,51,Yes,2019-12-03,60 Months,$16K
57,Emerging,NA,Business Services,2020-03-18,,New Deal,New,Closed Lost,,5,No,2019-12-19,31 Months,$14K
58,SMB,NA,Professional Services,2020-03-06,,Upgrade,Upgrade,Disqualified,,51,Yes,2020-02-19,60 Months,$3K
59,SMB,EMEA,Consulting,2020-03-04,,Upgrade,Upgrade,Closed Won,,45,Yes,2020-03-02,11 Months,$3K
60,Emerging,APAC,Internet Software & Services,2020-03-04,Data Vendor,New Deal,New,Closed Won,Data Vendor,45,Yes,2020-03-02,7 Months,$2K
61,Emerging,NA,Internet Software & Services,2020-03-04,,Upgrade,Upgrade,Closed Won,,10,Yes,2020-03-04,60 Months,$1K
62,Emerging,NA,,2020-03-04,,Upgrade,Upgrade,Closed Won,,,Yes,2020-03-03,38 Months,$1K
63,Emerging,NA,Internet Software & Services,2020-03-04,,Upgrade,Upgrade,Closed Lost,,60,Yes,2019-11-12,31 Months,$3K
64,Emerging,NA,Computer Networking,2020-03-03,,Upgrade,Upgrade,Closed Won,,,Yes,2020-03-02,47 Months,$2K
65,Emerging,EMEA,Internet Software & Services,2020-03-03,,Upgrade,Upgrade,Closed Won,,22,Yes,2020-03-02,60 Months,$3K
66,Emerging,NA,Software,2020-03-03,Website,New Deal,New,Closed Won,Website,48,Yes,2020-02-14,58 Months,$10K
67,Emerging,NA,,2020-03-03,,New Deal,New,Disqualified,,,No,2019-12-04,39 Months,$8K
68,Emerging,NA,Internet Software & Services,2020-03-03,,Upgrade,Upgrade,Closed Won,,5,Yes,2020-03-03,60 Months,-$599.98
69,Mid-Market,NA,Internet Software & Services,2020-03-03,,Upgrade,Upgrade,Closed Won,,535,Yes,2020-02-18,39 Months,$3K
70,SMB,NA,Internet Software & Services,2020-03-03,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-03-03,47 Months,$2K
71,SMB,NA,Internet Software & Services,2020-03-03,,Upgrade,Upgrade,Closed Won,,201,Yes,2020-02-28,31 Months,$5K
72,Emerging,NA,Investment Banking,2020-03-03,,Upgrade,Upgrade,Closed Won,,2,Yes,2020-03-02,60 Months,-$900.05
73,Mid-Market,NA,Professional Services,2020-03-03,,Billing Transfer,Billing Transfer,Closed Won,,540,Yes,2020-03-03,42 Months,$9K
74,SMB,NA,Internet Software & Services,2020-03-03,,Billing Transfer,Billing Transfer,Closed Won,,51,Yes,2020-03-03,42 Months,$14K
75,SMB,NA,Internet Software & Services,2020-03-03,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-02-28,60 Months,-$974.40
76,Emerging,NA,Media,2020-03-02,,Upgrade,Upgrade,Closed Won,,52,Yes,2020-03-02,60 Months,$1K
77,Emerging,NA,Internet Software & Services,2020-03-02,Datahug,Upgrade,Upgrade,Closed Won,Datahug,44,Yes,2020-02-27,47 Months,$34K
78,Emerging,NA,Computer Software,2020-03-02,,Upgrade,Upgrade,Closed Won,,28,Yes,2020-03-02,31 Months,$5K
79,Emerging,NA,Internet Software & Services,2020-03-02,,Upgrade,Upgrade,Closed Won,,76,Yes,2020-03-02,31 Months,$1K
80,Emerging,Unknown,,2020-03-02,,New Deal,New,Closed Won,,,Yes,2020-02-28,11 Months,$3K
81,SMB,NA,Hospital & Health Care,2020-03-02,,Upgrade,Upgrade,Closed Won,,80,Yes,2020-02-06,4 Months,$10K
82,Emerging,NA,Internet Software & Services,2020-03-02,,Upgrade,Upgrade,Closed Won,,,Yes,2020-03-02,47 Months,$1K
83,SMB,NA,Computer Software,2020-03-02,,Upgrade,Upgrade,Closed Won,,250,Yes,2020-02-27,60 Months,$2K
84,Emerging,NA,Internet Software & Services,2020-03-02,,Upgrade,Upgrade,Closed Won,,20,Yes,2020-03-02,47 Months,$2K
85,Emerging,NA,Internet Software & Services,2020-03-02,,Upgrade,Upgrade,Closed Won,,36,Yes,2020-03-02,4 Months,$2K
86,Emerging,NA,,2020-03-01,,Upgrade,Upgrade,Disqualified,,,Yes,2020-01-31,58 Months,$3K
87,Enterprise,NA,Internet Software & Services,2020-03-01,,Upgrade,Upgrade,Closed Lost,,51,Yes,2020-01-09,39 Months,$4K
88,Emerging,NA,,2020-03-01,,New Deal,New,Closed Lost,,,No,2019-08-29,31 Months,$8K
89,Emerging,NA,Internet Software & Services,2020-03-01,,Upgrade,Upgrade,Disqualified,,51,Yes,2020-01-31,60 Months,$3K
90,SMB,NA,Internet Software & Services,2020-03-01,,New Deal,New,Closed Lost,,67,No,2019-12-17,47 Months,$48K
91,Emerging,NA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Disqualified,,16,Yes,2020-02-06,38 Months,$1K
92,SMB,NA,Hospitals / Health Care,2020-02-29,Webinar,New Deal,New,Closed Lost,Webinar,170,No,2019-10-02,4 Months,$13K
93,Emerging,NA,Technology,2020-02-29,,New Deal,New,Closed Won,,,Yes,2020-01-31,31 Months,$18K
94,Emerging,NA,Professional Services,2020-02-29,,New Deal,New,Closed Lost,,364,No,2019-11-08,7 Months,$36K
95,SMB,APAC,,2020-02-29,,New Deal,New,Closed Lost,,,No,2020-02-03,7 Months,$4K
96,SMB,NA,Insurance,2020-02-29,SalesLoft (Prospector),New Deal,New,Closed Lost,SalesLoft (Prospector),60,No,2019-08-14,47 Months,$8K
97,Emerging,EMEA,Internet Software & Services,2020-02-29,Website,New Deal,New,Closed Won,Website,18,Yes,2019-11-13,11 Months,$9K
98,Emerging,NA,,2020-02-29,,New Deal,,Closed Lost,,,No,2019-12-16,7 Months,$7K
99,Emerging,NA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-01-09,47 Months,$2K
100,SMB,NA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Closed Lost,,51,Yes,2019-10-31,47 Months,$6K
101,Emerging,EMEA,,2020-02-29,,New Deal,New,Closed Won,,,Yes,2020-02-04,11 Months,$4K
102,SMB,NA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Disqualified,,121,Yes,2019-10-22,7 Months,$19K
103,Emerging,NA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Closed Lost,,13,Yes,2019-10-28,31 Months,-$399.30
104,Emerging,NA,Professional Services,2020-02-29,,New Deal,,Closed Lost,,15,No,2020-02-20,38 Months,$2K
105,Mid-Market,NA,Internet Software & Services,2020-02-29,Events,New Deal,New,Closed Lost,Events,"2,469",No,2019-09-16,47 Months,$0.00
106,SMB,NA,Computer Software,2020-02-29,Data Vendor,New Deal,New,Closed Lost,Data Vendor,600,No,2019-11-18,7 Months,$9K
107,Emerging,NA,Technology,2020-02-29,,New Deal,New,Closed Won,,75,Yes,2020-02-19,58 Months,$63K
108,Emerging,EMEA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-28,11 Months,$3K
109,Emerging,NA,Internet Software & Services,2020-02-29,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-02-21,4 Months,$4K
110,SMB,NA,Commercial Services & Supplies,2020-02-29,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,750,No,2019-11-12,47 Months,$12K
111,Emerging,EMEA,Consulting,2020-02-28,,Upgrade,Upgrade,Closed Won,,16,Yes,2020-02-04,11 Months,$2K
112,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,30,Yes,2019-10-22,4 Months,$2K
113,Enterprise,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,50,No,2019-06-25,15 Months,$20K
114,Emerging,NA,,2020-02-28,,New Deal,New,Closed Lost,,,No,2020-01-21,4 Months,$2K
115,Emerging,NA,Technology,2020-02-28,,Upgrade,Upgrade,Closed Won,,15,Yes,2020-02-21,38 Months,$5K
116,Enterprise,NA,Professional Services,2020-02-28,,New Deal,New,Closed Lost,,51,No,2018-08-08,15 Months,$0.00
117,Enterprise,NA,"Hotels, Restaurants & Leisure",2020-02-28,,New Deal,New,Closed Lost,,"20,075",No,2018-01-26,15 Months,$0.00
118,Enterprise,NA,Professional Services,2020-02-28,,New Deal,New,Closed Lost,,"1,416",No,2019-10-01,15 Months,$0.00
119,Mid-Market,NA,Media,2020-02-28,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,814,No,2019-06-05,39 Months,$8K
120,Enterprise,NA,Internet Software & Services,2020-02-28,Trade Show,New Deal,New,Closed Lost,Trade Show,"1,001",No,2018-05-18,15 Months,$0.00
121,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Disqualified,,30,Yes,2019-11-26,60 Months,$3K
122,Emerging,EMEA,,2020-02-28,Website,New Deal,New,Closed Won,Website,,Yes,2020-01-13,38 Months,$9K
123,Emerging,NA,Computer Software,2020-02-28,,Upgrade,Upgrade,Closed Won,,10,Yes,2020-02-21,38 Months,$5K
124,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-28,47 Months,$0.00
125,Emerging,NA,Computer Software,2020-02-28,G2 Crowd,New Deal,New,Closed Lost,G2 Crowd,170,No,2019-12-13,4 Months,$8K
126,SMB,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,71,Yes,2020-02-04,60 Months,$12K
127,Emerging,NA,Internet Software & Services,2020-02-28,,New Deal,New,Closed Lost,,,No,2020-01-06,7 Months,$5K
128,Enterprise,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,"3,809",Yes,2019-11-18,6 Months,$11K
129,SMB,NA,Electrical Equipment,2020-02-28,,Upgrade,Upgrade,Closed Lost,,110,Yes,2019-11-14,47 Months,$2K
130,Enterprise,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,"10,001",Yes,2019-04-23,15 Months,$26K
131,Emerging,NA,,2020-02-28,,New Deal,New,Closed Lost,,,No,2019-12-10,47 Months,$18K
132,SMB,APAC,Professional Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,3,Yes,2020-02-14,60 Months,-$792.15
133,Enterprise,NA,Financial Services,2020-02-28,Intercom - Live Chat,New Deal,New,Closed Lost,Intercom - Live Chat,"1,394",No,2020-01-22,47 Months,$2K
134,SMB,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,210,Yes,2020-02-14,7 Months,$7K
135,SMB,NA,Internet Software & Services,2020-02-28,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,51,No,2019-11-14,7 Months,$7K
136,Emerging,EMEA,Internet Software & Services,2020-02-28,,New Deal,New,Closed Won,,5,Yes,2020-02-27,31 Months,$14K
137,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,15,Yes,2020-02-26,47 Months,$4K
138,Mid-Market,EMEA,Software,2020-02-28,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,"1,720",No,2019-05-06,,$24K
139,SMB,NA,Banking,2020-02-28,,New Deal,New,Closed Won,,214,Yes,2020-02-24,31 Months,$6K
140,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Disqualified,,36,Yes,2020-02-10,41 Months,$1K
141,Emerging,NA,Biotechnology,2020-02-28,,Upgrade,Upgrade,Disqualified,,30,Yes,2019-12-04,60 Months,$9K
142,Emerging,EMEA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,22,Yes,2020-02-27,60 Months,$2K
143,SMB,NA,Internet Software & Services,2020-02-28,Datahug,New Deal,New,Closed Lost,Datahug,60,No,2019-05-29,47 Months,$6K
144,SMB,NA,Professional Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,37,Yes,2019-12-16,60 Months,$9K
145,SMB,APAC,Media,2020-02-28,,New Deal,New,Closed Lost,,"10,001",No,2019-10-28,15 Months,$162K
146,Enterprise,NA,Professional Services,2020-02-28,Datahug,Upgrade,Upgrade,Closed Lost,Datahug,"3,261",Yes,2019-08-08,15 Months,$36K
147,Emerging,Unknown,,2020-02-28,,New Deal,New,Closed Won,,,Yes,2020-02-14,47 Months,$8K
148,SMB,NA,Internet Software & Services,2020-02-28,SalesLoft,New Deal,New,Closed Lost,SalesLoft,200,No,2019-08-07,47 Months,$50K
149,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Disqualified,,30,Yes,2020-02-04,60 Months,-$760.08
150,SMB,NA,Internet,2020-02-28,,Upgrade,Upgrade,Closed Won,,58,Yes,2020-02-20,31 Months,$16K
151,Emerging,EMEA,Professional Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-19,11 Months,$1K
152,Emerging,NA,Technology,2020-02-28,,Upgrade,Upgrade,Closed Won,,60,Yes,2020-02-27,60 Months,$4K
153,Emerging,NA,,2020-02-28,Website,New Deal,,Closed Lost,Website,,No,2019-10-29,47 Months,$18K
154,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-28,58 Months,$1K
155,Mid-Market,EMEA,Software,2020-02-28,,New Deal,New,Closed Won,,"1,190",Yes,2020-02-27,11 Months,$13K
156,SMB,NA,,2020-02-28,,Upgrade,Upgrade,Closed Lost,,,Yes,2019-10-30,39 Months,$16K
157,SMB,NA,Professional Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,51,Yes,2019-07-26,47 Months,$6K
158,Emerging,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-27,31 Months,$12K
159,SMB,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Disqualified,,17,Yes,2019-12-16,7 Months,$10K
160,Mid-Market,NA,Internet Software & Services,2020-02-28,,Upgrade,Upgrade,Closed Lost,,627,Yes,2018-07-03,15 Months,$0.00
161,Emerging,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,13,Yes,2020-02-25,31 Months,$6K
162,Emerging,NA,Finance,2020-02-27,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-02-21,47 Months,$7K
163,Emerging,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,15,Yes,2020-02-26,60 Months,-$336.00
164,Emerging,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,17,Yes,2020-02-26,58 Months,$3K
165,Emerging,NA,Technology,2020-02-27,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-27,31 Months,-$480.00
166,SMB,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,18,Yes,2020-02-14,60 Months,$2K
167,Emerging,NA,Internet,2020-02-27,,New Deal,New,Closed Won,,102,Yes,2020-02-07,4 Months,$17K
168,SMB,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,130,Yes,2020-02-21,47 Months,$3K
169,Mid-Market,NA,,2020-02-27,Events,Upgrade,Upgrade,Closed Won,Events,,Yes,2020-02-26,39 Months,$7K
170,SMB,EMEA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-10,31 Months,$5K
171,SMB,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,132,Yes,2020-02-26,60 Months,$8K
172,SMB,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-02-19,60 Months,$5K
173,Emerging,NA,Internet Software & Services,2020-02-27,,Upgrade,Upgrade,Closed Won,,80,Yes,2020-02-21,60 Months,$3K
174,Enterprise,NA,Internet Software & Services,2020-02-27,ZoomInfo,Upgrade,Upgrade,Closed Won,ZoomInfo,"1,600",Yes,2020-01-30,15 Months,$13K
175,Emerging,NA,Internet Software & Services,2020-02-26,,Upgrade,Upgrade,Closed Won,,25,Yes,2020-02-25,58 Months,$3K
176,SMB,NA,,2020-02-26,,New Deal,New,Closed Won,,,Yes,2020-02-10,58 Months,$11K
177,SMB,NA,Publishing,2020-02-26,,Upgrade,Upgrade,Closed Won,,757,Yes,2020-02-26,31 Months,-$900.00
178,Emerging,NA,Internet Software & Services,2020-02-26,Datahug,Upgrade,Upgrade,Closed Won,Datahug,11,Yes,2020-02-21,60 Months,$1K
179,SMB,NA,,2020-02-26,,New Deal,New,Closed Won,,,Yes,2020-02-19,38 Months,$6K
180,Emerging,NA,Internet Software & Services,2020-02-26,,Upgrade,Upgrade,Closed Won,,28,Yes,2020-02-17,60 Months,$3K
181,Emerging,NA,Professional Services,2020-02-26,Invited User,New Deal,New,Closed Won,Invited User,19,Yes,2020-02-24,58 Months,$7K
182,Emerging,NA,Real Estate,2020-02-26,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-02-24,4 Months,$3K
183,SMB,NA,Internet Software & Services,2020-02-26,Outbound SDR,New Deal,New,Closed Won,Outbound SDR,211,Yes,2019-09-06,47 Months,$14K
184,Emerging,NA,Internet Software & Services,2020-02-26,,New Deal,New,Closed Won,,30,Yes,2020-02-11,60 Months,$5K
185,Emerging,Unknown,,2020-02-26,Outbound,New Deal,New,Closed Won,Outbound,,Yes,2020-02-20,11 Months,$2K
186,Emerging,NA,Internet Software & Services,2020-02-26,,Upgrade,Upgrade,Closed Won,,40,Yes,2020-02-24,60 Months,$2K
187,Emerging,EMEA,Internet Software & Services,2020-02-26,,Upgrade,Upgrade,Closed Won,,22,Yes,2020-02-20,60 Months,-$900.00
188,Emerging,NA,,2020-02-26,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-26,7 Months,$3K
189,Emerging,NA,Internet Software & Services,2020-02-26,,New Deal,New,Closed Won,,11,Yes,2020-02-17,58 Months,$6K
190,Emerging,NA,Human Resources,2020-02-26,Data Vendor,New Deal,New,Closed Won,Data Vendor,45,Yes,2020-02-12,4 Months,$5K
191,SMB,NA,Internet Software & Services,2020-02-25,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-02-20,60 Months,$2K
192,SMB,NA,Internet Software & Services,2020-02-25,,Upgrade,Upgrade,Closed Won,,0,Yes,2020-02-25,11 Months,$1K
193,Emerging,NA,Technology,2020-02-25,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-02-19,47 Months,$15K
194,Emerging,NA,Manufacturing,2020-02-25,,New Deal,New,Closed Won,,,Yes,2020-02-19,38 Months,$6K
195,Emerging,NA,,2020-02-25,,New Deal,New,Closed Won,,6,Yes,2020-02-12,58 Months,$8K
196,SMB,NA,Internet Software & Services,2020-02-25,Data Vendor,Upgrade,Upgrade,Closed Won,Data Vendor,30,Yes,2020-01-02,7 Months,$8K
197,SMB,NA,Professional Services,2020-02-25,,Upgrade,Upgrade,Closed Won,,201,Yes,2020-02-21,47 Months,$3K
198,Emerging,NA,Internet Software & Services,2020-02-25,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-02-24,38 Months,$1K
199,Emerging,NA,,2020-02-25,,New Deal,New,Closed Won,,,Yes,2020-02-19,38 Months,$2K
200,Emerging,NA,Internet Software & Services,2020-02-25,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-02-21,58 Months,-$648.00
201,SMB,NA,Internet Software & Services,2020-02-25,,Upgrade,Upgrade,Closed Won,,25,Yes,2020-02-24,47 Months,$6K
202,Enterprise,NA,Wireless,2020-02-24,Bing Natural Search,New Deal,New,Closed Lost,Bing Natural Search,"1,001",Yes,2019-05-22,15 Months,$22K
203,SMB,NA,Professional Services,2020-02-24,,Upgrade,Upgrade,Closed Won,,180,Yes,2020-02-21,60 Months,$8K
204,Emerging,Unknown,,2020-02-24,Outbound,New Deal,New,Closed Won,Outbound,,Yes,2020-02-04,11 Months,$1K
205,Emerging,NA,Internet Software & Services,2020-02-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-21,47 Months,$3K
206,Emerging,EMEA,Technology,2020-02-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-06,11 Months,$14K
207,SMB,NA,Internet Software & Services,2020-02-24,,Upgrade,Upgrade,Closed Won,,125,Yes,2020-02-21,60 Months,$2K
208,Emerging,EMEA,Internet Software & Services,2020-02-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-02-12,11 Months,$4K
